Run	model	alpha	regularization	factors	iterations	precision	recall	f1	map@k
run_868	lmf	76	0.0009754001733043765	104	39	0.0016	0.0016	0.0016	0.0003
run_869	lmf	90	0.0017945160578756328	341	80	0.0034	0.0034	0.0034	0.0004
run_870	lmf	40	0.013169266365183587	966	90	0.0034	0.0034	0.0034	0.0004
run_871	lmf	38	0.010348635136924848	428	70	0.0034	0.0034	0.0034	0.0004
run_872	bpr	47	0.027547010744175246	338	9	0.0306	0.0306	0.0306	0.0072
run_873	bpr	37	0.03247241627761834	980	60	0.0695	0.0695	0.0695	0.0183
run_874	bpr	40	0.0029558092386724366	896	85	0.0760	0.0760	0.0760	0.0194
run_875	lmf	74	0.005174082837769505	297	36	0.0034	0.0034	0.0034	0.0004
run_876	lmf	73	0.0032378711896937445	447	13	0.0034	0.0034	0.0034	0.0004
run_877	lmf	94	0.006391161157673151	353	80	0.0034	0.0034	0.0034	0.0004
run_878	bpr	30	0.001353587731033504	756	72	0.0796	0.0796	0.0796	0.0208
run_879	lmf	49	0.010618817219403899	564	55	0.0034	0.0034	0.0034	0.0004
run_880	lmf	86	0.0021140050665790218	157	60	0.0045	0.0045	0.0045	0.0009
run_881	lmf	96	0.0009189953069608336	258	52	0.0034	0.0034	0.0034	0.0004
run_882	lmf	51	0.004911905429403829	571	25	0.0034	0.0034	0.0034	0.0004
run_883	lmf	90	0.008526743834080124	446	85	0.0034	0.0034	0.0034	0.0004
run_884	lmf	77	0.0005409244924740594	389	48	0.0034	0.0034	0.0034	0.0004
run_885	lmf	22	0.003250233206786869	533	54	0.0034	0.0034	0.0034	0.0004
run_886	bpr	77	0.023614452317735284	312	49	0.0688	0.0688	0.0688	0.0177
run_887	bpr	87	7.560695779591266e-05	594	50	0.0805	0.0805	0.0805	0.0216
run_888	lmf	64	0.0011890742397450205	349	35	0.0034	0.0034	0.0034	0.0004
run_889	bpr	28	0.03468848639964888	88	14	0.0653	0.0653	0.0653	0.0176
run_890	bpr	26	0.003986477695452937	490	28	0.0573	0.0573	0.0573	0.0154
run_891	lmf	36	0.0034979362025194726	933	87	0.0034	0.0034	0.0034	0.0004
run_892	lmf	51	0.0028085467443375273	359	57	0.0034	0.0034	0.0034	0.0004
run_893	bpr	10	0.009489843061246126	118	5	0.0645	0.0645	0.0645	0.0168
run_894	lmf	70	0.002249249350823376	838	10	0.0034	0.0034	0.0034	0.0004
run_895	lmf	87	0.0064171678990207984	356	94	0.0034	0.0034	0.0034	0.0004
run_896	bpr	15	0.031905766199219185	497	67	0.0657	0.0657	0.0657	0.0169
run_897	lmf	67	0.015302095195619678	89	64	0.0044	0.0044	0.0044	0.0008
run_898	lmf	14	0.007870192914957868	105	29	0.0016	0.0016	0.0016	0.0003
run_899	bpr	89	0.0026796862009162144	71	99	0.0759	0.0759	0.0759	0.0195
run_900	lmf	13	0.01597899692114559	183	48	0.0014	0.0014	0.0014	0.0003
run_901	bpr	40	0.031037314147360596	860	89	0.0591	0.0591	0.0591	0.0159
run_902	bpr	92	0.0073774082267776655	407	7	0.0310	0.0310	0.0310	0.0068
run_903	lmf	80	0.007194071131932302	790	63	0.0034	0.0034	0.0034	0.0004
run_904	bpr	30	0.004251776842217155	515	23	0.0709	0.0709	0.0709	0.0186
run_905	bpr	54	0.002134401707979328	887	7	0.0547	0.0547	0.0547	0.0143
run_906	bpr	39	0.011168059987137555	876	80	0.0791	0.0791	0.0791	0.0210
run_907	lmf	17	0.00023995813766255374	397	84	0.0034	0.0034	0.0034	0.0004
run_908	lmf	63	0.006450013129059778	95	80	0.0015	0.0015	0.0015	0.0003
run_909	bpr	89	0.0025578281740548207	823	65	0.0814	0.0814	0.0814	0.0216
run_910	bpr	99	3.207258472441305e-05	65	27	0.0357	0.0357	0.0357	0.0088
run_911	lmf	34	0.006426394602031636	765	5	0.0034	0.0034	0.0034	0.0004
run_912	lmf	77	0.00632511896835944	272	76	0.0034	0.0034	0.0034	0.0004
run_913	lmf	56	0.004615503973742915	557	80	0.0034	0.0034	0.0034	0.0004
run_914	bpr	97	0.0002456308469161668	784	40	0.0801	0.0801	0.0801	0.0212
run_915	lmf	32	0.0030080726153273625	133	74	0.0012	0.0012	0.0012	0.0002
run_916	bpr	99	0.010864824492430668	182	90	0.0778	0.0778	0.0778	0.0206
run_917	lmf	29	0.012396646096751382	100	62	0.0015	0.0015	0.0015	0.0003
